TEAM,GP,W,L,WIN%,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%
Oklahoma City Thunder,82,55,27,0.671,"3,966",52.4,0.292,15.9,31.1,48.4,0.271,13,24
LA Clippers,82,53,29,0.646,"3,966",52.4,0.318,13.2,20.1,48,0.296,15.5,26.2
Miami Heat,82,48,34,0.585,"3,966",50.8,0.282,14.7,23.8,48.5,0.255,13.3,22.2
Boston Celtics,82,48,34,0.585,"3,956",48.8,0.264,13.5,25.1,48.7,0.306,16.2,25.4
Charlotte Hornets,82,48,34,0.585,"3,971",50.2,0.28,12.7,20,49.6,0.249,13.6,20.2
Atlanta Hawks,82,48,34,0.585,"3,966",51.6,0.237,15,19.1,48,0.256,16.1,25.4
Indiana Pacers,82,45,37,0.549,"3,976",49.7,0.268,14.9,23.4,48.9,0.273,15.8,24
Detroit Pistons,82,44,38,0.537,"3,976",49.1,0.296,13.7,27,50.4,0.25,13.7,20.7
Portland Trail Blazers,82,44,38,0.537,"3,961",51.1,0.268,14.8,25.9,50.3,0.307,13.4,23.8
Dallas Mavericks,82,42,40,0.512,"4,001",50.2,0.265,13.1,20.6,50.4,0.269,14.2,23.8
Chicago Bulls,82,42,40,0.512,"3,981",48.7,0.24,14,24.5,48.5,0.247,12,25.1
Memphis Grizzlies,82,42,40,0.512,"3,966",47.7,0.295,13.8,25.3,51.8,0.326,16.8,24.9
Houston Rockets,82,41,41,0.5,"3,966",51.6,0.352,15.8,25.7,51.6,0.289,16.5,27.2
Washington Wizards,82,41,41,0.5,"3,951",51.1,0.263,14.3,20.6,51.5,0.283,16,22.3
Utah Jazz,82,40,42,0.488,"3,991",50.1,0.286,15.8,25.9,49.5,0.281,14.8,22.3
Orlando Magic,82,35,47,0.427,"3,981",50,0.232,14.2,23.1,51.3,0.288,15.3,23.5
Milwaukee Bucks,82,33,49,0.402,"3,966",49.9,0.276,15.7,24.9,51,0.288,15.8,26.9
Denver Nuggets,82,33,49,0.402,"3,966",48.9,0.282,14.8,25.8,51.5,0.284,13.9,22.7
Sacramento Kings,82,33,49,0.402,"3,961",51,0.295,15.7,23.9,52.1,0.264,15.5,25.1
New York Knicks,82,32,50,0.39,"3,961",48.3,0.255,13.9,23.7,48.7,0.271,11.7,24.2
New Orleans Pelicans,82,30,52,0.366,"3,956",49.8,0.259,13.5,21.2,52.3,0.287,13.8,21.2
Minnesota Timberwolves,82,29,53,0.354,"3,976",49.8,0.332,15.3,24.3,52.4,0.265,15,25.3
Phoenix Suns,82,23,59,0.28,"3,941",48.7,0.271,16.9,25.4,52.3,0.317,14.9,22.9
Brooklyn Nets,82,21,61,0.256,"3,951",49.2,0.246,15.1,24.1,53.4,0.23,14.5,24.3
Los Angeles Lakers,82,17,65,0.207,"3,946",46,0.292,13.9,23.1,52.3,0.277,12.9,25.3
Philadelphia 76ers,82,10,72,0.122,"3,961",48.7,0.269,16.2,20.6,51,0.306,15,26
Golden State Warriors,82,67,15,0.817,"3,946",54,0.239,14.4,24.1,47,0.284,15.9,25.5
Atlanta Hawks,82,60,22,0.732,"3,946",52.7,0.259,14.7,21.4,49.2,0.242,16.6,26.6
Houston Rockets,82,56,26,0.683,"3,961",51.2,0.312,16.7,26.8,48.6,0.277,16.4,27.1
Los Angeles Clippers,82,56,26,0.683,"3,946",53.3,0.303,12.7,22.8,49.3,0.312,14.7,24.3
Memphis Grizzlies,82,55,27,0.671,"3,981",48.9,0.276,14,24.7,49.2,0.247,16.1,24.7
San Antonio Spurs,82,55,27,0.671,"3,991",51.7,0.256,14.4,23.4,48.4,0.256,14.6,22.7
