G,Date,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
27,12/23/12,MIN,W,94.0000,91.0000,32.0000,72.0000,0.4440,6.0000,26.0000,0.2310,24.0000,28.0000,0.8570,4.0000,35.0000,17.0000,11.0000,2.0000,14.0000,20.0000,34.0000,84.0000,0.4050,7.0000,22.0000,0.3180,16.0000,18.0000,0.8890,13.0000,47.0000,20.0000,5.0000,2.0000,16.0000,22.0000
28,12/25/12,LAL,L,94.0000,100.0000,38.0000,89.0000,0.4270,9.0000,26.0000,0.3460,9.0000,16.0000,0.5630,11.0000,40.0000,20.0000,9.0000,3.0000,10.0000,25.0000,37.0000,77.0000,0.4810,5.0000,21.0000,0.2380,21.0000,31.0000,0.6770,8.0000,42.0000,22.0000,4.0000,4.0000,11.0000,17.0000
29,12/26/12,PHO,W,99.0000,97.0000,40.0000,88.0000,0.4550,9.0000,22.0000,0.4090,10.0000,14.0000,0.7140,9.0000,41.0000,21.0000,8.0000,6.0000,11.0000,17.0000,38.0000,83.0000,0.4580,8.0000,21.0000,0.3810,13.0000,16.0000,0.8130,5.0000,38.0000,21.0000,7.0000,5.0000,13.0000,12.0000
30,12/28/12,SAC,L,105.0000,106.0000,41.0000,83.0000,0.4940,11.0000,30.0000,0.3670,12.0000,20.0000,0.6000,18.0000,46.0000,26.0000,4.0000,8.0000,17.0000,16.0000,39.0000,86.0000,0.4530,15.0000,30.0000,0.5000,13.0000,17.0000,0.7650,11.0000,34.0000,28.0000,11.0000,6.0000,11.0000,19.0000
31,1/1/13,POR,L,100.0000,105.0000,36.0000,84.0000,0.4290,10.0000,37.0000,0.2700,18.0000,24.0000,0.7500,13.0000,37.0000,18.0000,9.0000,2.0000,10.0000,19.0000,41.0000,81.0000,0.5060,11.0000,33.0000,0.3330,12.0000,18.0000,0.6670,13.0000,47.0000,22.0000,6.0000,0.0000,16.0000,22.0000
32,1/3/13,SAS,W,100.0000,83.0000,39.0000,82.0000,0.4760,12.0000,27.0000,0.4440,10.0000,16.0000,0.6250,10.0000,48.0000,26.0000,10.0000,5.0000,12.0000,18.0000,28.0000,77.0000,0.3640,9.0000,34.0000,0.2650,18.0000,21.0000,0.8570,7.0000,35.0000,14.0000,8.0000,5.0000,13.0000,11.0000
33,1/5/13,ORL,W,114.0000,106.0000,42.0000,88.0000,0.4770,12.0000,33.0000,0.3640,18.0000,22.0000,0.8180,9.0000,40.0000,24.0000,7.0000,1.0000,8.0000,19.0000,41.0000,85.0000,0.4820,10.0000,26.0000,0.3850,14.0000,18.0000,0.7780,12.0000,45.0000,23.0000,5.0000,4.0000,13.0000,19.0000
34,1/7/13,BOS,L,96.0000,102.0000,31.0000,76.0000,0.4080,14.0000,32.0000,0.4380,20.0000,26.0000,0.7690,14.0000,42.0000,19.0000,7.0000,3.0000,13.0000,21.0000,39.0000,74.0000,0.5270,6.0000,18.0000,0.3330,18.0000,20.0000,0.9000,9.0000,36.0000,26.0000,8.0000,1.0000,10.0000,21.0000
35,1/10/13,IND,L,76.0000,81.0000,31.0000,89.0000,0.3480,4.0000,20.0000,0.2000,10.0000,13.0000,0.7690,19.0000,51.0000,14.0000,2.0000,7.0000,12.0000,18.0000,31.0000,79.0000,0.3920,5.0000,21.0000,0.2380,14.0000,16.0000,0.8750,12.0000,48.0000,16.0000,8.0000,5.0000,10.0000,19.0000
36,1/11/13,CHI,L,101.0000,108.0000,37.0000,90.0000,0.4110,11.0000,22.0000,0.5000,16.0000,23.0000,0.6960,18.0000,41.0000,17.0000,11.0000,3.0000,12.0000,28.0000,39.0000,68.0000,0.5740,5.0000,11.0000,0.4550,25.0000,34.0000,0.7350,6.0000,39.0000,26.0000,8.0000,6.0000,18.0000,23.0000
