Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
63,63,2014-03-10,,ORL,W,105,98,38,84,.452,8,27,.296,21,25,.840,10,42,25,5,4,11,9,,42,88,.477,9,23,.391,5,8,.625,12,43,23,6,2,17,22
64,64,2014-03-11,@,MIN,L,101,112,39,74,.527,5,15,.333,18,29,.621,6,39,29,3,5,15,24,,41,85,.482,8,20,.400,22,30,.733,11,34,25,9,4,7,24
65,65,2014-03-13,@,ATL,L,97,102,37,89,.416,3,19,.158,20,26,.769,16,43,24,13,3,8,21,,36,74,.486,13,29,.448,17,20,.850,7,41,23,3,6,17,22
66,66,2014-03-15,@,NYK,L,94,115,35,81,.432,4,10,.400,20,27,.741,15,32,17,6,1,10,21,,42,76,.553,8,20,.400,23,28,.821,13,41,14,3,7,11,23
67,67,2014-03-16,,CHA,L,92,101,37,89,.416,7,18,.389,11,16,.688,15,37,24,10,2,9,17,,39,68,.574,9,20,.450,14,18,.778,6,39,26,5,8,17,16
68,68,2014-03-18,@,POR,L,115,120,45,98,.459,8,17,.471,17,26,.654,12,53,28,10,3,19,31,,42,97,.433,12,39,.308,24,27,.889,11,47,25,6,5,16,22
69,69,2014-03-20,@,GSW,L,110,115,39,80,.488,3,12,.250,29,39,.744,7,36,23,7,1,10,21,,43,80,.538,8,27,.296,21,25,.840,8,42,26,6,3,15,28
70,70,2014-03-23,@,SAC,L,107,124,42,85,.494,4,18,.222,19,30,.633,11,40,25,3,6,12,31,,44,86,.512,7,20,.350,29,36,.806,13,44,19,5,3,10,23
71,71,2014-03-24,@,LAC,L,98,106,41,85,.482,5,13,.385,11,16,.688,11,38,27,6,2,10,18,,38,78,.487,8,18,.444,22,27,.815,7,40,29,7,6,13,17
72,72,2014-03-27,,LAL,W,108,105,39,70,.557,6,10,.600,24,34,.706,9,33,15,9,8,18,21,,42,85,.494,7,21,.333,14,18,.778,13,38,23,10,1,20,24
73,73,2014-03-29,,MIA,L,67,88,27,79,.342,4,14,.286,9,14,.643,17,40,15,6,4,14,16,,32,74,.432,7,23,.304,17,21,.810,14,43,18,5,8,11,12
74,74,2014-03-31,@,DET,L,111,116,39,88,.443,5,17,.294,28,36,.778,18,50,28,5,5,13,20,,46,97,.474,9,23,.391,15,21,.714,19,50,28,5,5,11,26
75,75,2014-04-02,@,MIA,L,77,96,32,73,.438,4,18,.222,9,9,1.000,11,42,18,3,3,17,16,,39,77,.506,9,26,.346,9,14,.643,8,35,22,12,5,9,12
76,76,2014-04-04,@,CHI,L,90,102,31,68,.456,2,8,.250,26,35,.743,9,38,17,7,9,20,24,,31,84,.369,7,22,.318,33,42,.786,16,44,24,13,5,11,24
77,77,2014-04-05,,TOR,L,98,102,38,79,.481,1,9,.111,21,27,.778,12,37,28,5,5,9,21,,36,81,.444,12,27,.444,18,22,.818,12,39,20,5,2,9,22
78,78,2014-04-09,,IND,L,102,104,38,87,.437,4,16,.250,22,29,.759,14,48,21,6,5,11,20,,41,85,.482,11,24,.458,11,19,.579,8,41,26,4,5,11,24
79,79,2014-04-11,,CLE,W,119,116,44,84,.524,6,16,.375,25,38,.658,14,41,20,5,4,11,22,,42,85,.494,4,20,.200,28,35,.800,11,40,18,11,4,10,27
80,80,2014-04-12,@,WAS,L,91,104,32,68,.471,5,8,.625,22,34,.647,13,42,20,5,3,20,16,,40,84,.476,8,22,.364,16,19,.842,8,36,25,7,5,9,23
81,81,2014-04-14,@,TOR,L,100,110,38,73,.521,6,10,.600,18,26,.692,6,32,21,7,3,16,21,,38,81,.469,14,32,.438,20,26,.769,15,46,25,11,0,13,22
82,82,2014-04-16,,ATL,L,103,111,40,77,.519,7,18,.389,16,21,.762,11,43,25,5,5,20,21,,41,76,.539,8,24,.333,21,26,.808,4,30,29,13,2,12,18
