Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,Off eFG%,Off TOV%,Off ORB%,Off FT/FGA,Def eFG%,Def TOV%,Def DRB%,Def FT/FGA,G,W,L,WIN%,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Houston Rockets*,24.4,45,37,50,32,3.48,0.22,3.69,109.7,106.1,96.1,0.308,0.349,0.564,0.525,14.9,26.4,0.23199999999999998,0.502,13.5,75.2,0.196,82,45,37,0.5489999999999999,19780,3124,6782,0.461,867,2369,0.366,2257,4413,0.511,1573,2087,0.754,909,2652,3561,1902,679,359,1348,1662,8688
Indiana Pacers*,25.7,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,90.2,0.293,0.245,0.521,0.479,14.3,30.3,0.21899999999999997,0.45299999999999996,12.9,74.6,0.19699999999999998,81,49,32,0.605,19590,2845,6525,0.436,555,1599,0.34700000000000003,2290,4926,0.465,1429,1915,0.746,1043,2671,3714,1645,580,513,1227,1623,7674
Los Angeles Clippers*,28.8,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,91.1,0.28600000000000003,0.265,0.557,0.526,13.9,28.8,0.203,0.49200000000000005,15.4,73.5,0.22899999999999998,82,56,26,0.6829999999999999,19730,3160,6608,0.478,627,1752,0.358,2533,4856,0.522,1342,1888,0.711,938,2475,3413,1958,784,461,1197,1716,8289
Los Angeles Lakers*,30.7,45,37,44,38,1.16,0.32,1.48,107.8,106.6,94.4,0.345,0.303,0.5479999999999999,0.512,13.9,27.0,0.239,0.496,11.9,74.3,0.163,82,45,37,0.5489999999999999,19755,3041,6640,0.45799999999999996,715,2015,0.355,2326,4625,0.503,1584,2289,0.6920000000000001,942,2732,3674,1818,576,429,1232,1467,8381
Memphis Grizzlies*,27.0,56,26,54,28,4.15,0.18,4.32,104.9,100.3,88.4,0.261,0.166,0.514,0.47200000000000003,13.3,31.0,0.20199999999999999,0.475,15.2,74.3,0.209,82,56,26,0.6829999999999999,19805,2964,6679,0.444,382,1107,0.345,2582,5572,0.46299999999999997,1349,1746,0.773,1059,2445,3504,1715,703,436,1144,1660,7659
Miami Heat*,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.22399999999999998,0.48700000000000004,14.8,73.0,0.2,82,66,16,0.805,19880,3148,6348,0.496,717,1809,0.396,2431,4539,0.536,1423,1887,0.754,676,2490,3166,1890,710,441,1143,1533,8436
Milwaukee Bucks*,26.4,38,44,37,45,-1.5,-0.33,-1.83,103.6,105.2,94.7,0.23600000000000002,0.23199999999999998,0.51,0.47600000000000003,12.7,27.9,0.174,0.49200000000000005,14.4,71.3,0.201,82,38,44,0.46299999999999997,19830,3128,7197,0.435,601,1670,0.36,2527,5527,0.457,1251,1700,0.736,1068,2537,3605,1876,685,550,1156,1554,8108
Minnesota Timberwolves,26.4,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,92.8,0.305,0.22,0.516,0.473,13.8,27.4,0.226,0.511,15.0,74.0,0.187,82,31,51,0.37799999999999995,19730,2943,6702,0.439,450,1475,0.305,2493,5227,0.47700000000000004,1515,2042,0.742,973,2473,3446,1836,700,387,1214,1509,7851
New Orleans Hornets,24.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,88.5,0.248,0.22399999999999998,0.528,0.489,14.0,29.2,0.193,0.52,13.1,74.4,0.20800000000000002,82,27,55,0.32899999999999996,19780,2955,6589,0.44799999999999995,535,1474,0.363,2420,5115,0.473,1269,1636,0.7759999999999999,988,2426,3414,1721,520,440,1193,1673,7714
New York Knicks*,30.2,54,28,53,29,4.23,-0.5,3.73,111.1,106.3,89.8,0.258,0.354,0.55,0.515,11.7,25.6,0.196,0.508,14.8,74.7,0.21600000000000003,82,54,28,0.659,19730,2996,6689,0.44799999999999995,891,2371,0.376,2105,4318,0.48700000000000004,1313,1729,0.759,890,2436,3326,1579,672,294,988,1650,8196
Oklahoma City Thunder*,26.0,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,93.3,0.33799999999999997,0.244,0.58,0.527,14.4,26.7,0.28,0.469,13.5,73.4,0.19699999999999998,82,60,22,0.732,19830,3126,6504,0.48100000000000004,598,1588,0.377,2528,4916,0.514,1819,2196,0.828,854,2725,3579,1753,679,624,1253,1654,8669
Orlando Magic,24.6,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,92.2,0.19699999999999998,0.223,0.514,0.485,13.7,25.4,0.149,0.508,11.8,74.6,0.195,82,20,62,0.244,19780,3093,6904,0.44799999999999995,506,1537,0.32899999999999996,2587,5367,0.48200000000000004,1026,1359,0.755,890,2612,3502,1871,528,358,1191,1591,7718
Philadelphia 76ers,25.2,34,48,31,51,-3.34,-0.17,-3.51,102.0,105.7,91.0,0.2,0.209,0.509,0.48100000000000004,12.5,24.9,0.146,0.495,13.7,73.4,0.2,82,34,48,0.415,19755,3059,6895,0.444,518,1438,0.36,2541,5457,0.466,1004,1377,0.7290000000000001,896,2493,3389,1867,609,384,1070,1505,7640
Phoenix Suns,26.9,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,93.4,0.23399999999999999,0.21,0.512,0.47700000000000004,14.3,27.0,0.174,0.512,14.2,71.9,0.20800000000000002,82,25,57,0.305,19805,3061,6917,0.44299999999999995,480,1455,0.33,2581,5462,0.473,1203,1618,0.7440000000000001,959,2454,3413,1855,659,434,1278,1688,7805
Portland Trail Blazers,24.4,33,49,32,50,-3.17,0.65,-2.53,105.8,109.2,91.4,0.25,0.284,0.536,0.498,13.9,25.3,0.19399999999999998,0.512,12.5,73.3,0.18899999999999997,82,33,49,0.402,19855,3009,6715,0.44799999999999995,673,1904,0.353,2336,4811,0.486,1304,1680,0.7759999999999999,874,2474,3348,1784,538,353,1203,1518,7995
Sacramento Kings,25.6,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,93.6,0.271,0.243,0.532,0.491,13.4,26.6,0.20800000000000002,0.517,13.6,71.0,0.22699999999999998,82,28,54,0.341,19830,3086,6904,0.447,610,1681,0.363,2476,5223,0.474,1437,1869,0.769,943,2385,3328,1708,671,342,1199,1717,8219
San Antonio Spurs*,28.6,58,24,58,24,6.4,0.27,6.67,108.3,101.6,94.2,0.258,0.264,0.568,0.531,14.0,20.5,0.204,0.48,13.7,74.9,0.179,82,58,24,0.7070000000000001,19880,3210,6675,0.48100000000000004,663,1764,0.376,2547,4911,0.519,1365,1725,0.7909999999999999,666,2721,3387,2058,695,446,1206,1427,8448
Toronto Raptors,25.4,34,48,37,45,-1.48,-0.48,-1.96,105.9,107.5,90.4,0.27399999999999997,0.249,0.532,0.488,13.0,25.5,0.21600000000000003,0.5,13.6,73.4,0.247,82,34,48,0.415,19980,2979,6685,0.446,571,1665,0.34299999999999997,2408,5020,0.48,1442,1831,0.7879999999999999,871,2426,3297,1765,595,392,1124,1836,7971
Utah Jazz,26.3,43,39,41,41,-0.09,0.38,0.3,106.7,106.8,90.9,0.281,0.20600000000000002,0.5329999999999999,0.49200000000000005,13.8,28.8,0.214,0.501,14.0,73.2,0.226,82,43,39,0.524,19880,3046,6710,0.45399999999999996,507,1385,0.366,2539,5325,0.47700000000000004,1439,1883,0.764,989,2457,3446,1859,690,515,1210,1750,8038
Washington Wizards,25.4,29,53,33,49,-2.54,-0.25,-2.78,100.2,103.0,92.2,0.261,0.223,0.512,0.475,14.2,24.6,0.191,0.483,13.7,74.6,0.20600000000000002,82,29,53,0.354,19855,2910,6693,0.435,545,1495,0.365,2365,5198,0.455,1279,1746,0.733,887,2652,3539,1775,598,376,1238,1681,7644
