Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,Off eFG%,Off TOV%,Off ORB%,Off FT/FGA,Def eFG%,Def TOV%,Def DRB%,Def FT/FGA,G,W,L,WIN%,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Houston Rockets*,25.4,54,28,53,29,4.56,0.5,5.06,111.0,106.3,96.3,0.386,0.33,0.5710000000000001,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,82,54,28,0.659,19830,3118,6603,0.47200000000000003,779,2179,0.358,2339,4424,0.529,1814,2549,0.7120000000000001,920,2797,3717,1755,621,461,1323,1676,8829
Indiana Pacers*,27.2,56,26,54,28,4.4,-0.77,3.63,104.1,99.3,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,82,56,26,0.6829999999999999,19780,2949,6573,0.449,550,1542,0.35700000000000004,2399,5031,0.47700000000000004,1485,1907,0.779,834,2831,3665,1651,550,446,1237,1675,7933
Los Angeles Clippers*,28.1,57,25,59,23,6.98,0.3,7.27,112.1,104.8,95.9,0.353,0.29100000000000004,0.5670000000000001,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222,82,57,25,0.695,19755,3208,6761,0.474,693,1966,0.35200000000000004,2515,4795,0.525,1741,2384,0.73,858,2668,3526,2016,703,397,1136,1767,8850
Los Angeles Lakers,26.8,27,55,25,57,-6.29,0.96,-5.33,104.2,110.6,98.7,0.263,0.29100000000000004,0.542,0.505,13.7,20.2,0.19899999999999998,0.513,12.4,71.0,0.192,82,27,55,0.32899999999999996,19705,3139,6980,0.45,774,2032,0.381,2365,4948,0.478,1390,1835,0.757,745,2620,3365,2006,611,446,1239,1627,8442
Memphis Grizzlies*,28.5,50,32,46,36,1.57,0.61,2.18,106.3,104.6,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.49700000000000005,13.8,75.7,0.199,82,50,32,0.61,19805,3122,6723,0.46399999999999997,405,1147,0.353,2717,5576,0.48700000000000004,1235,1666,0.741,950,2526,3476,1792,631,375,1124,1568,7884
Miami Heat*,30.6,54,28,54,28,4.76,-0.61,4.15,110.9,105.8,91.2,0.3,0.292,0.59,0.5539999999999999,14.6,20.6,0.228,0.511,15.8,73.0,0.212,82,54,28,0.659,19880,3142,6272,0.501,665,1829,0.364,2477,4443,0.5579999999999999,1431,1884,0.76,627,2397,3024,1847,732,367,1212,1596,8380
Milwaukee Bucks,24.7,15,67,20,62,-8.18,-0.23,-8.41,103.0,111.8,91.8,0.27399999999999997,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,82,15,67,0.183,19880,2952,6737,0.43799999999999994,548,1553,0.353,2404,5184,0.46399999999999997,1377,1843,0.747,971,2399,3370,1760,541,403,1238,1713,7829
Minnesota Timberwolves,26.3,40,42,48,34,2.67,0.43,3.1,108.9,106.2,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,82,40,42,0.488,19855,3189,7175,0.444,600,1757,0.341,2589,5418,0.478,1790,2301,0.778,1024,2644,3668,1963,718,297,1142,1504,8768
New Orleans Pelicans,24.3,34,48,33,49,-2.71,0.73,-1.98,107.2,110.1,92.2,0.28600000000000003,0.193,0.537,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,82,34,48,0.415,19855,3101,6761,0.45899999999999996,486,1303,0.373,2615,5458,0.479,1489,1936,0.769,933,2486,3419,1745,647,523,1129,1857,8177
New York Knicks,28.3,37,45,39,43,-0.79,-0.61,-1.4,108.3,109.1,90.3,0.248,0.302,0.541,0.505,12.5,25.1,0.18899999999999997,0.514,14.0,74.3,0.245,82,37,45,0.451,19855,3027,6739,0.449,759,2038,0.37200000000000005,2268,4701,0.48200000000000004,1271,1670,0.7609999999999999,870,2437,3307,1641,631,367,1063,1815,8084
Oklahoma City Thunder*,26.2,59,23,58,24,6.34,0.32,6.66,110.5,103.9,95.4,0.303,0.271,0.5660000000000001,0.52,14.0,26.5,0.244,0.488,13.9,75.6,0.221,82,59,23,0.72,19805,3194,6782,0.47100000000000003,664,1839,0.361,2530,4943,0.512,1653,2052,0.8059999999999999,887,2781,3668,1794,678,501,1256,1858,8705
Orlando Magic,24.6,23,59,26,56,-5.44,-0.44,-5.88,101.7,107.4,93.6,0.253,0.235,0.525,0.48700000000000004,13.9,22.4,0.193,0.504,13.0,75.5,0.211,82,23,59,0.28,19955,3022,6784,0.445,563,1596,0.353,2459,5188,0.474,1307,1714,0.763,794,2654,3448,1726,630,350,1222,1678,7914
Philadelphia 76ers,23.4,19,63,16,66,-10.45,-0.21,-10.66,99.4,109.9,99.2,0.268,0.258,0.51,0.475,14.8,24.8,0.19,0.524,14.9,72.4,`,82,19,63,0.23199999999999998,19855,3108,7150,0.435,577,1847,0.312,2531,5303,0.47700000000000004,1362,1918,0.71,949,2556,3505,1791,765,330,1384,1844,8155
Phoenix Suns,26.2,48,34,48,34,2.63,0.39,3.02,109.5,106.7,95.8,0.293,0.3,0.5579999999999999,0.519,14.0,26.4,0.222,0.496,13.9,73.7,0.237,82,48,34,0.585,19755,3172,6845,0.46299999999999997,765,2055,0.37200000000000005,2407,4790,0.503,1520,2004,0.758,928,2601,3529,1563,688,374,1258,1798,8629
Portland Trail Blazers*,25.8,54,28,52,30,3.99,0.45,4.44,111.5,107.4,94.9,0.27,0.29,0.5479999999999999,0.504,12.4,28.0,0.22,0.488,11.0,74.7,0.194,82,54,28,0.659,19855,3207,7134,0.45,770,2071,0.37200000000000005,2437,5063,0.48100000000000004,1569,1926,0.815,1022,2786,3808,1904,454,387,1125,1576,8753
Sacramento Kings,24.9,28,54,33,49,-2.9,0.82,-2.08,105.7,108.8,94.4,0.331,0.218,0.532,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,82,28,54,0.341,19830,3026,6766,0.447,491,1475,0.33299999999999996,2535,5291,0.479,1698,2237,0.759,990,2656,3646,1547,587,318,1249,1849,8241
San Antonio Spurs*,28.9,62,20,61,21,7.72,0.28,8.0,110.5,102.4,95.0,0.24,0.257,0.5710000000000001,0.537,13.5,22.7,0.188,0.48200000000000004,12.8,76.4,0.184,82,62,20,0.7559999999999999,19755,3326,6844,0.486,698,1757,0.397,2628,5087,0.517,1289,1642,0.785,762,2786,3548,2064,604,420,1180,1495,8639
Toronto Raptors*,25.6,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,91.8,0.306,0.285,0.545,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,82,48,34,0.585,19955,2992,6718,0.445,713,1917,0.37200000000000005,2279,4801,0.475,1608,2055,0.782,935,2552,3487,1737,577,343,1159,1882,8305
Utah Jazz,24.5,25,57,22,60,-7.17,0.91,-6.27,103.5,111.3,91.4,0.271,0.237,0.523,0.484,13.9,25.5,0.20199999999999999,0.518,12.1,74.5,0.227,82,25,57,0.305,19780,2951,6652,0.444,543,1577,0.344,2408,5075,0.474,1346,1803,0.747,904,2477,3381,1664,570,366,1200,1699,7791
Washington Wizards*,26.3,44,38,45,37,1.27,-0.79,0.48,106.0,104.6,93.2,0.248,0.24600000000000002,0.5379999999999999,0.506,13.6,25.2,0.18100000000000002,0.504,15.0,75.7,0.22,82,44,38,0.537,20055,3177,6920,0.45899999999999996,647,1704,0.38,2530,5216,0.485,1253,1715,0.731,886,2573,3459,1909,668,377,1204,1675,8254
