Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,Off eFG%,Off TOV%,Off ORB%,Off FT/FGA,Def eFG%,Def TOV%,Def DRB%,Def FT/FGA,G,W,L,WIN%,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Houston Rockets*,27.4,55,27,55,27,5.77,0.08,5.84,114.7,109,100,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,82,55,27,0.671,19780,3305,7152,0.462,1181,3306,0.357,2124,3846,0.552,1667,2177,0.766,892,2747,3639,2070,670,351,1241,1634,9458
Indiana Pacers*,27,42,40,40,42,-0.22,-0.42,-0.64,108.6,108.8,95.9,0.261,0.272,0.558,0.516,12.7,21.2,0.212,0.512,13.6,75.4,0.225,82,42,40,0.512,19855,3221,6932,0.465,709,1885,0.376,2512,5047,0.498,1467,1811,0.81,742,2702,3444,1844,669,411,1128,1597,8618
Los Angeles Clippers*,30,51,31,52,30,4.29,0.13,4.42,112.7,108.3,96.1,0.312,0.329,0.575,0.537,12.1,21.5,0.233,0.506,12.2,76.9,0.211,82,51,31,0.622,19755,3242,6819,0.475,841,2245,0.375,2401,4574,0.525,1586,2128,0.745,740,2790,3530,1848,613,349,1064,1626,8911
Los Angeles Lakers,25.1,26,56,24,58,-6.88,0.58,-6.29,106,113,98.5,0.259,0.295,0.537,0.501,13.5,25,0.195,0.542,13,75.8,0.213,82,26,56,0.317,19705,3224,7164,0.45,730,2110,0.346,2494,5054,0.493,1397,1853,0.754,933,2636,3569,1716,675,320,1243,1698,8575
Memphis Grizzlies*,29.5,43,39,42,40,0.49,0.47,0.96,107.6,107.1,92.3,0.28,0.316,0.535,0.491,12.1,24.7,0.219,0.506,13.6,77.5,0.256,82,43,39,0.524,19905,2984,6854,0.435,767,2169,0.354,2217,4685,0.473,1504,1918,0.784,885,2621,3506,1744,654,343,1060,1840,8239
Miami Heat,26.5,41,41,44,38,1.06,-0.29,0.77,107.8,106.7,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,82,41,41,0.5,19780,3202,7037,0.455,808,2213,0.365,2394,4824,0.496,1248,1768,0.706,873,2706,3579,1742,586,469,1102,1680,8460
Milwaukee Bucks*,25.6,42,40,40,42,-0.18,-0.26,-0.45,109.1,109.3,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,82,42,40,0.512,19780,3182,6715,0.474,720,1946,0.37,2462,4769,0.516,1413,1839,0.768,723,2589,3312,1984,666,436,1145,1660,8497
Minnesota Timberwolves,24,31,51,38,44,-1.11,0.47,-0.64,110.8,112,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.229,0.535,13.2,75.9,0.212,82,31,51,0.378,19805,3235,6922,0.467,601,1724,0.349,2634,5198,0.507,1586,1986,0.799,938,2540,3478,1940,654,370,1150,1646,8657
New Orleans Pelicans,25.7,34,48,35,47,-2.1,0.41,-1.69,105.3,107.4,98,0.256,0.308,0.539,0.504,11.7,18.6,0.192,0.509,12.4,76.7,0.177,82,34,48,0.415,19905,3210,7130,0.45,768,2196,0.35,2442,4934,0.495,1368,1825,0.75,706,2879,3585,1869,638,453,1054,1490,8556
New York Knicks,27.3,31,51,31,51,-3.67,-0.2,-3.87,107.7,111.5,96,0.239,0.279,0.534,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214,82,31,51,0.378,19855,3244,7255,0.447,704,2022,0.348,2540,5233,0.485,1364,1731,0.788,982,2722,3704,1786,581,456,1139,1668,8556
Oklahoma City Thunder*,24.7,47,35,43,39,0.76,0.39,1.14,108.3,107.5,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,0.511,12.5,79,0.218,82,47,35,0.573,19805,3237,7169,0.452,692,2116,0.327,2545,5053,0.504,1575,2113,0.745,1002,2821,3823,1721,648,408,1230,1715,8741
Orlando Magic,25.3,29,53,24,58,-6.57,-0.04,-6.61,103.7,110.5,96.8,0.246,0.3,0.524,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201,82,29,53,0.354,19805,3139,7133,0.44,701,2139,0.328,2438,4994,0.488,1309,1753,0.747,807,2734,3541,1820,580,395,1091,1584,8288
Philadelphia 76ers,24.6,28,54,26,56,-5.7,-0.14,-5.83,103.2,108.9,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.199,0.512,13.4,75.3,0.234,82,28,54,0.341,19830,3088,6992,0.442,831,2443,0.34,2257,4549,0.496,1393,1806,0.771,807,2706,3513,1949,692,420,1366,1793,8400
Phoenix Suns,25,24,58,27,55,-5.63,0.49,-5.14,106.6,112.2,100.3,0.297,0.255,0.538,0.493,13.4,26.1,0.231,0.525,13.1,76.4,0.264,82,24,58,0.293,19830,3270,7260,0.45,615,1854,0.332,2655,5406,0.491,1676,2159,0.776,977,2712,3689,1604,673,399,1266,2030,8831
Portland Trail Blazers*,24.8,41,41,40,42,-0.52,0.3,-0.23,110.3,110.8,96.7,0.275,0.322,0.559,0.52,12.5,23,0.214,0.508,11.6,76.8,0.241,82,41,41,0.5,19930,3243,7059,0.459,852,2272,0.375,2391,4787,0.499,1513,1940,0.78,830,2750,3580,1733,574,408,1126,1736,8851
Sacramento Kings,27.8,32,50,31,51,-3.88,0.58,-3.29,107.3,111.3,94.9,0.284,0.291,0.556,0.516,13.7,21,0.22,0.528,12.9,76.3,0.227,82,32,50,0.39,19880,3105,6735,0.461,737,1961,0.376,2368,4774,0.496,1483,1913,0.775,715,2661,3376,1844,626,325,1201,1667,8430
San Antonio Spurs*,29.6,61,21,60,22,7.2,-0.06,7.13,111.1,103.5,94.2,0.263,0.281,0.564,0.524,12.6,24,0.21,0.492,13.5,77.6,0.192,82,61,21,0.744,19805,3222,6864,0.469,753,1927,0.391,2469,4937,0.5,1440,1806,0.797,822,2777,3599,1954,654,486,1101,1498,8637
Toronto Raptors*,26.1,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,94.7,0.293,0.289,0.561,0.517,11.8,25,0.233,0.507,13.5,76.3,0.223,82,51,31,0.622,19780,3211,6918,0.464,725,1996,0.363,2486,4922,0.505,1615,2028,0.796,871,2676,3547,1517,677,401,1041,1708,8762
Utah Jazz*,26.8,51,31,52,30,3.94,0.06,4,109.6,105.3,91.6,0.288,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,82,51,31,0.622,19755,3033,6514,0.466,791,2128,0.372,2242,4386,0.511,1401,1875,0.747,771,2774,3545,1651,550,410,1119,1545,8258
Washington Wizards*,26,49,33,46,36,1.8,-0.45,1.36,111.2,109.3,97.3,0.254,0.284,0.564,0.528,12.8,24,0.199,0.524,13.8,75.4,0.213,82,49,33,0.598,19855,3388,7136,0.475,756,2030,0.372,2632,5106,0.515,1421,1812,0.784,842,2670,3512,1956,693,340,1161,1745,8953
